Open Shifts Report for New York Market (1/6/2020 - 1/31/2020),,,,,,
Date,Location,Shift Name,Start,End,Hours,Comments
1/23/2020,NY Great Neck Staff: 144S,RT,4:00 PM,8:00 PM,4,
1/23/2020,NY Greenvale Staff: 141S,MA,8:00 AM,8:00 PM,12,
1/23/2020,NY Huntington Staff: 161S,Scribe,8:00 AM,8:00 PM,12,
1/23/2020,NY Levittown Staff: 120S,Scribe,8:00 AM,8:00 PM,12,
1/23/2020,NY Levittown Staff: 120S,MA,8:00 AM,8:00 PM,12,
1/23/2020,NY Oceanside Staff: 151S,UN RT,8:00 AM,4:00 PM,8,
1/23/2020,NY Port Jefferson Staff: 601S,Scribe,8:00 AM,8:00 PM,12,
1/23/2020,NY Roslyn Staff: 119S,Scribe,2:00 PM,8:00 PM,6,
1/23/2020,NY Smithtown Staff: 135S,Scribe,8:00 AM,8:00 PM,12,
1/23/2020,NY Training: Staff: 100TRNS,Train,8:00 AM,8:00 PM,12,
1/24/2020,NY Amityville Staff: 134S,Scribe,8:00 AM,8:00 PM,12,
1/24/2020,NY Bullshead Staff: 146S,Scribe,6:00 PM,8:00 PM,2,
1/24/2020,NY Dongan Hills Staff: 111S,MA,8:00 AM,8:00 PM,12,
